-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/1993 through 09/08/2026 in LST
Location: latitude  -67.6026   longitude 62.8736 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 253.13 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,WS50M
1994,2,10,9.49
1994,2,11,7.62
1994,2,12,10.64
1994,2,13,10.37
1994,2,14,7.84
1994,2,15,11.68
1994,2,16,4.29
1994,2,17,9.38
1994,2,18,8.3
1994,2,19,6.65
1994,2,20,7.23
1994,2,21,7.59
1994,2,22,9.42
1994,2,23,7.42
1994,2,24,6.27
1994,2,25,7.71
1994,2,26,6.77
1994,2,27,7.15
1994,2,28,6.66
1994,3,1,6.56
1994,3,2,10.72
1994,3,3,14.79
1994,3,4,5.78
1994,3,5,10.09
1994,3,6,15.08
1994,3,7,8.71
1994,3,8,7.42
1994,3,9,7.0
1994,3,10,10.13
1994,3,11,7.92
1994,3,12,8.14
1994,3,13,11.32
1994,3,14,10.45
1994,3,15,8.79
1994,3,16,9.62
1994,3,17,9.28
1994,3,18,9.37
1994,3,19,6.53
1994,3,20,10.02
1994,3,21,6.77
1994,3,22,10.25
1994,3,23,12.0
1994,3,24,6.99
1994,3,25,10.2
1994,3,26,12.9
1994,3,27,7.61
1994,3,28,10.04
1994,3,29,14.65
1994,3,30,13.88
1994,3,31,8.2
1994,4,1,10.9
1994,4,2,8.59
1994,4,3,9.27
1994,4,4,8.74
1994,4,5,9.42
1994,4,6,10.79
1994,4,7,12.41
1994,4,8,10.33
1994,4,9,5.08
1994,4,10,10.23
1994,4,11,19.29
1994,4,12,28.23
1994,4,13,16.69
1994,4,14,12.87
1994,4,15,11.43
1994,4,16,11.71
1994,4,17,9.63
1994,4,18,9.95
1994,4,19,8.23
1994,4,20,9.03
1994,4,21,8.27
1994,4,22,9.15
1994,4,23,8.47
1994,4,24,9.7
1994,4,25,10.3
1994,4,26,7.47
1994,4,27,8.32
1994,4,28,6.41
1994,4,29,8.27
1994,4,30,9.26
1994,5,1,6.29
1994,5,2,7.0
1994,5,3,6.81
1994,5,4,11.93
1994,5,5,8.25
1994,5,6,8.65
1994,5,7,9.18
1994,5,8,9.32
1994,5,9,11.35
1994,5,10,7.98
1994,5,11,12.94
1994,5,12,11.1
1994,5,13,9.42
1994,5,14,7.38
1994,5,15,7.65
1994,5,16,16.18
1994,5,17,11.36
1994,5,18,7.8
1994,5,19,6.84
1994,5,20,8.08
1994,5,21,14.4
1994,5,22,10.69
1994,5,23,9.6
1994,5,24,5.84
1994,5,25,6.53
1994,5,26,8.7
1994,5,27,8.97
1994,5,28,12.12
1994,5,29,12.27
1994,5,30,10.97
1994,5,31,17.3
1994,6,1,11.27
1994,6,2,6.65
1994,6,3,5.54
1994,6,4,3.46
1994,6,5,4.97
1994,6,6,9.05
1994,6,7,8.35
1994,6,8,6.67
1994,6,9,9.18
1994,6,10,15.83
1994,6,11,9.15
1994,6,12,19.2
1994,6,13,33.31
1994,6,14,21.53
1994,6,15,15.24
1994,6,16,18.83
1994,6,17,25.48
1994,6,18,20.84
1994,6,19,18.07
1994,6,20,16.46
1994,6,21,16.7
1994,6,22,12.96
1994,6,23,9.95
1994,6,24,6.73
1994,6,25,12.04
1994,6,26,15.07
1994,6,27,10.37
1994,6,28,7.03
1994,6,29,14.72
1994,6,30,18.9
1994,7,1,9.81
1994,7,2,5.48
1994,7,3,8.78
1994,7,4,6.45
1994,7,5,6.4
1994,7,6,11.46
1994,7,7,11.8
1994,7,8,12.15
1994,7,9,9.44
1994,7,10,11.21
1994,7,11,9.98
1994,7,12,10.54
1994,7,13,12.53
1994,7,14,12.16
1994,7,15,17.2
1994,7,16,17.29
1994,7,17,18.0
1994,7,18,13.28
1994,7,19,10.93
1994,7,20,11.47
1994,7,21,14.39
1994,7,22,17.5
1994,7,23,11.2
1994,7,24,7.74
1994,7,25,8.16
1994,7,26,9.32
1994,7,27,10.67
1994,7,28,10.75
1994,7,29,8.24
1994,7,30,11.1
1994,7,31,10.39
1994,8,1,10.37
1994,8,2,15.12
1994,8,3,6.7
1994,8,4,12.01
1994,8,5,9.45
1994,8,6,6.9
1994,8,7,5.21
1994,8,8,6.48
1994,8,9,10.18
1994,8,10,6.46
1994,8,11,16.94
1994,8,12,6.75
1994,8,13,14.15
1994,8,14,10.11
1994,8,15,4.16
1994,8,16,7.37
1994,8,17,7.92
1994,8,18,9.69
1994,8,19,7.53
1994,8,20,5.1
1994,8,21,9.14
1994,8,22,8.05
1994,8,23,7.88
1994,8,24,8.16
1994,8,25,8.58
1994,8,26,10.11
1994,8,27,10.12
1994,8,28,10.47
1994,8,29,15.67
1994,8,30,22.93
1994,8,31,31.1
1994,9,1,21.02
1994,9,2,9.54
1994,9,3,10.26
1994,9,4,12.97
1994,9,5,9.67
1994,9,6,6.7
1994,9,7,8.45
1994,9,8,10.15
1994,9,9,12.83
1994,9,10,9.74
1994,9,11,5.7
1994,9,12,4.38
1994,9,13,3.05
1994,9,14,8.81
1994,9,15,11.93
1994,9,16,17.2
1994,9,17,17.41
1994,9,18,10.16
1994,9,19,10.29
1994,9,20,10.44
1994,9,21,8.68
1994,9,22,10.82
1994,9,23,7.53
1994,9,24,7.73
1994,9,25,7.53
1994,9,26,8.95
1994,9,27,11.48
1994,9,28,11.74
1994,9,29,14.32
1994,9,30,19.92
1994,10,1,20.85
1994,10,2,14.12
1994,10,3,9.4
1994,10,4,10.88
1994,10,5,11.26
1994,10,6,3.6
1994,10,7,6.89
1994,10,8,8.69
1994,10,9,8.16
1994,10,10,12.75
1994,10,11,9.74
1994,10,12,6.23
1994,10,13,10.0
1994,10,14,8.24
1994,10,15,10.38
1994,10,16,12.53
1994,10,17,13.32
1994,10,18,7.43
1994,10,19,4.34
1994,10,20,9.24
1994,10,21,15.4
1994,10,22,7.31
1994,10,23,2.77
1994,10,24,9.77
1994,10,25,8.05
1994,10,26,4.56
1994,10,27,6.78
1994,10,28,8.74
1994,10,29,9.93
1994,10,30,7.58
1994,10,31,9.03
1994,11,1,10.9
1994,11,2,8.95
1994,11,3,7.11
1994,11,4,11.08
1994,11,5,19.91
1994,11,6,14.19
1994,11,7,7.88
1994,11,8,8.67
1994,11,9,8.17
1994,11,10,11.28
1994,11,11,15.8
1994,11,12,11.22
1994,11,13,9.26
1994,11,14,10.03
1994,11,15,8.63
1994,11,16,10.48
1994,11,17,15.82
1994,11,18,14.55
1994,11,19,5.6
1994,11,20,5.63
1994,11,21,9.4
1994,11,22,15.99
1994,11,23,19.56
1994,11,24,16.17
1994,11,25,12.33
1994,11,26,7.53
1994,11,27,6.53
1994,11,28,7.91
1994,11,29,10.51
1994,11,30,14.04
1994,12,1,17.07
1994,12,2,13.72
1994,12,3,8.39
1994,12,4,21.15
1994,12,5,14.61
1994,12,6,9.71
1994,12,7,16.22
1994,12,8,22.19
1994,12,9,13.04
1994,12,10,5.76
1994,12,11,10.49
1994,12,12,12.66
1994,12,13,8.28
1994,12,14,4.87
1994,12,15,1.51
1994,12,16,4.47
1994,12,17,4.14
1994,12,18,6.89
1994,12,19,6.72
1994,12,20,8.19
1994,12,21,9.01
1994,12,22,6.43
1994,12,23,4.73
1994,12,24,3.19
1994,12,25,4.9
1994,12,26,5.03
1994,12,27,7.09
1994,12,28,6.91
1994,12,29,5.06
1994,12,30,4.35
1994,12,31,5.19
1995,1,1,6.16
1995,1,2,9.09
1995,1,3,4.9
1995,1,4,6.19
1995,1,5,15.95
1995,1,6,18.66
1995,1,7,19.17
1995,1,8,15.65
1995,1,9,3.85
1995,1,10,3.05
1995,1,11,2.6
1995,1,12,5.23
1995,1,13,12.57
1995,1,14,7.83
1995,1,15,3.29
1995,1,16,3.19
1995,1,17,1.66
1995,1,18,4.96
1995,1,19,7.9
1995,1,20,8.83
1995,1,21,13.91
1995,1,22,9.98
1995,1,23,7.92
1995,1,24,6.24
1995,1,25,3.38
1995,1,26,6.27
1995,1,27,4.78
1995,1,28,6.78
1995,1,29,8.63
1995,1,30,9.48
1995,1,31,10.0
1995,2,1,6.33
1995,2,2,15.98
1995,2,3,17.95
1995,2,4,15.32
1995,2,5,10.92
1995,2,6,18.62
1995,2,7,8.24
1995,2,8,6.34
1995,2,9,6.5
1995,2,10,7.42
1995,2,11,6.12
1995,2,12,5.4
1995,2,13,15.72
1995,2,14,8.37
1995,2,15,5.38
1995,2,16,16.79
1995,2,17,13.34
1995,2,18,8.73
1995,2,19,4.85
1995,2,20,6.9
1995,2,21,9.4
1995,2,22,16.49
1995,2,23,16.44
1995,2,24,10.2
1995,2,25,9.39
1995,2,26,9.56
1995,2,27,7.39
1995,2,28,6.36
1995,3,1,10.98
1995,3,2,12.83
1995,3,3,10.16
1995,3,4,8.67
1995,3,5,8.99
1995,3,6,5.73
1995,3,7,10.5
1995,3,8,8.12
1995,3,9,9.61
1995,3,10,19.73
1995,3,11,7.82
1995,3,12,5.42
1995,3,13,9.55
1995,3,14,8.31
1995,3,15,6.28
1995,3,16,11.8
1995,3,17,7.89
1995,3,18,8.39
1995,3,19,11.39
1995,3,20,20.36
1995,3,21,19.23
1995,3,22,8.08
1995,3,23,5.52
1995,3,24,7.06
1995,3,25,16.41
1995,3,26,18.32
1995,3,27,9.02
1995,3,28,5.78
1995,3,29,10.36
1995,3,30,9.73
1995,3,31,10.09
1995,4,1,20.62
1995,4,2,25.55
1995,4,3,16.27
1995,4,4,11.81
1995,4,5,10.9
1995,4,6,14.66
1995,4,7,17.11
1995,4,8,18.67
1995,4,9,15.07
1995,4,10,16.3
1995,4,11,6.08
1995,4,12,10.51
1995,4,13,14.24
1995,4,14,8.54
1995,4,15,7.95
1995,4,16,8.73
1995,4,17,9.22
1995,4,18,11.7
1995,4,19,7.56
1995,4,20,9.1
1995,4,21,4.76
1995,4,22,5.96
1995,4,23,6.39
1995,4,24,14.14
1995,4,25,8.58
1995,4,26,10.67
1995,4,27,6.8
1995,4,28,15.28
1995,4,29,8.15
1995,4,30,9.74
1995,5,1,16.89
1995,5,2,8.93
1995,5,3,9.56
1995,5,4,6.62
1995,5,5,8.64
1995,5,6,10.3
1995,5,7,6.8
1995,5,8,7.32
1995,5,9,14.2
1995,5,10,8.95
1995,5,11,7.98
1995,5,12,10.59
1995,5,13,7.18
1995,5,14,12.4
1995,5,15,11.76
1995,5,16,9.66
1995,5,17,8.39
1995,5,18,12.08
1995,5,19,10.82
1995,5,20,14.2
1995,5,21,26.62
1995,5,22,14.7
1995,5,23,7.07
1995,5,24,8.12
1995,5,25,11.87
1995,5,26,12.16
1995,5,27,10.37
1995,5,28,6.81
1995,5,29,7.99
1995,5,30,7.72
1995,5,31,5.77
1995,6,1,6.46
1995,6,2,5.71
1995,6,3,8.79
1995,6,4,16.24
1995,6,5,9.26
1995,6,6,18.7
1995,6,7,27.32
1995,6,8,18.18
1995,6,9,10.68
1995,6,10,7.3
1995,6,11,17.67
1995,6,12,23.83
1995,6,13,15.5
1995,6,14,9.4
1995,6,15,10.95
1995,6,16,6.98
1995,6,17,7.77
1995,6,18,7.6
1995,6,19,8.98
1995,6,20,5.56
1995,6,21,15.4
1995,6,22,11.31
1995,6,23,9.68
1995,6,24,9.27
1995,6,25,5.18
1995,6,26,3.96
1995,6,27,8.76
1995,6,28,13.08
1995,6,29,12.8
1995,6,30,15.19
1995,7,1,16.51
1995,7,2,9.41
1995,7,3,12.15
1995,7,4,12.24
1995,7,5,13.85
1995,7,6,16.61
1995,7,7,19.34
1995,7,8,31.4
1995,7,9,20.54
1995,7,10,29.25
1995,7,11,16.42
1995,7,12,20.1
1995,7,13,27.27
1995,7,14,22.34
1995,7,15,17.72
1995,7,16,9.35
1995,7,17,11.2
1995,7,18,16.15
1995,7,19,14.82
1995,7,20,11.56
1995,7,21,10.69
1995,7,22,6.47
1995,7,23,11.3
1995,7,24,15.81
1995,7,25,14.3
1995,7,26,17.03
1995,7,27,19.25
1995,7,28,22.19
1995,7,29,21.14
1995,7,30,24.06
1995,7,31,12.54
1995,8,1,13.5
1995,8,2,15.8
1995,8,3,9.58
1995,8,4,12.01
1995,8,5,9.75
1995,8,6,5.84
1995,8,7,9.99
1995,8,8,9.64
1995,8,9,11.66
1995,8,10,9.72
1995,8,11,8.6
1995,8,12,7.34
1995,8,13,8.59
1995,8,14,9.8
1995,8,15,9.09
1995,8,16,10.42
1995,8,17,8.32
1995,8,18,8.96
1995,8,19,5.46
1995,8,20,10.79
1995,8,21,10.14
1995,8,22,8.79
1995,8,23,4.94
1995,8,24,7.03
1995,8,25,9.87
1995,8,26,8.6
1995,8,27,8.94
1995,8,28,6.87
1995,8,29,11.34
1995,8,30,6.15
1995,8,31,9.34
1995,9,1,24.8
1995,9,2,8.65
1995,9,3,14.76
1995,9,4,22.62
1995,9,5,11.8
1995,9,6,9.31
1995,9,7,6.59
1995,9,8,10.41
1995,9,9,7.24
1995,9,10,8.24
1995,9,11,4.95
1995,9,12,7.33
1995,9,13,7.85
1995,9,14,7.46
1995,9,15,7.99
1995,9,16,7.42
1995,9,17,9.53
1995,9,18,12.39
1995,9,19,7.01
1995,9,20,6.96
1995,9,21,19.24
1995,9,22,18.85
1995,9,23,16.87
1995,9,24,8.09
1995,9,25,6.57
1995,9,26,5.75
1995,9,27,8.79
1995,9,28,12.53
1995,9,29,12.42
1995,9,30,14.92
1995,10,1,10.45
1995,10,2,10.22
1995,10,3,9.66
1995,10,4,8.51
1995,10,5,5.95
1995,10,6,7.45
1995,10,7,10.1
1995,10,8,9.23
1995,10,9,10.26
1995,10,10,11.86
1995,10,11,8.22
1995,10,12,7.61
1995,10,13,24.41
1995,10,14,20.28
1995,10,15,18.74
1995,10,16,8.54
1995,10,17,9.06
1995,10,18,8.63
1995,10,19,7.41
1995,10,20,15.22
1995,10,21,7.54
1995,10,22,10.21
1995,10,23,8.89
1995,10,24,8.62
1995,10,25,7.13
1995,10,26,11.11
1995,10,27,8.36
1995,10,28,9.36
1995,10,29,10.25
1995,10,30,9.67
1995,10,31,13.09
1995,11,1,8.24
1995,11,2,9.46
1995,11,3,9.36
1995,11,4,9.71
1995,11,5,10.64
1995,11,6,10.9
1995,11,7,10.41
1995,11,8,10.75
1995,11,9,8.94
1995,11,10,12.04
1995,11,11,9.14
1995,11,12,8.16
1995,11,13,7.61
1995,11,14,11.3
1995,11,15,13.21
1995,11,16,12.5
1995,11,17,8.58
1995,11,18,8.44
1995,11,19,6.03
1995,11,20,6.85
1995,11,21,15.73
1995,11,22,9.3
1995,11,23,11.63
1995,11,24,10.23
1995,11,25,7.13
1995,11,26,6.04
1995,11,27,5.02
1995,11,28,10.63
1995,11,29,11.67
1995,11,30,6.97
1995,12,1,6.9
1995,12,2,4.35
1995,12,3,5.19
1995,12,4,11.66
1995,12,5,9.03
1995,12,6,6.24
1995,12,7,7.56
1995,12,8,9.15
1995,12,9,8.5
1995,12,10,8.77
1995,12,11,10.0
1995,12,12,8.53
1995,12,13,13.83
1995,12,14,16.7
1995,12,15,10.12
1995,12,16,10.39
1995,12,17,12.49
1995,12,18,5.93
1995,12,19,11.41
1995,12,20,9.74
1995,12,21,10.31
1995,12,22,6.4
1995,12,23,7.18
1995,12,24,4.0
1995,12,25,8.51
1995,12,26,6.13
1995,12,27,8.83
1995,12,28,4.97
1995,12,29,12.55
1995,12,30,7.4
1995,12,31,4.1
1996,1,1,3.67
1996,1,2,6.31
1996,1,3,12.0
1996,1,4,9.49
1996,1,5,5.91
1996,1,6,8.48
1996,1,7,4.77
1996,1,8,4.58
1996,1,9,4.84
1996,1,10,9.95
1996,1,11,14.24
1996,1,12,19.06
1996,1,13,12.03
1996,1,14,5.87
1996,1,15,10.18
1996,1,16,10.6
1996,1,17,5.63
1996,1,18,17.58
1996,1,19,10.33
1996,1,20,12.25
1996,1,21,4.69
1996,1,22,13.72
1996,1,23,11.54
1996,1,24,6.19
1996,1,25,7.91
1996,1,26,15.45
1996,1,27,17.19
1996,1,28,25.15
1996,1,29,20.65
1996,1,30,13.65
1996,1,31,16.4
1996,2,1,12.41
1996,2,2,6.44
1996,2,3,13.94
1996,2,4,9.25
1996,2,5,5.68
1996,2,6,6.68
1996,2,7,6.67
1996,2,8,6.79
1996,2,9,7.32
1996,2,10,6.51
1996,2,11,10.38
1996,2,12,7.07
1996,2,13,8.62
1996,2,14,13.96
1996,2,15,6.54
1996,2,16,9.28
1996,2,17,11.33
1996,2,18,12.67
1996,2,19,7.83
1996,2,20,8.29
1996,2,21,6.18
1996,2,22,5.63
1996,2,23,14.49
1996,2,24,18.12
1996,2,25,9.02
1996,2,26,14.4
1996,2,27,13.55
1996,2,28,20.61
1996,2,29,18.09
1996,3,1,11.92
1996,3,2,12.7
1996,3,3,7.45
1996,3,4,9.58
1996,3,5,6.17
1996,3,6,5.97
1996,3,7,6.23
1996,3,8,14.5
1996,3,9,5.95
1996,3,10,6.4
1996,3,11,9.3
1996,3,12,9.25
1996,3,13,19.41
1996,3,14,10.06
1996,3,15,10.12
1996,3,16,12.53
1996,3,17,15.18
1996,3,18,8.51
1996,3,19,5.47
1996,3,20,17.34
1996,3,21,8.46
1996,3,22,7.42
1996,3,23,11.38
1996,3,24,8.45
1996,3,25,11.03
1996,3,26,9.07
1996,3,27,10.22
1996,3,28,21.61
1996,3,29,19.0
1996,3,30,11.55
1996,3,31,13.13
1996,4,1,7.97
1996,4,2,10.18
1996,4,3,12.05
1996,4,4,13.72
1996,4,5,9.35
1996,4,6,8.03
1996,4,7,7.53
1996,4,8,9.78
1996,4,9,10.82
1996,4,10,15.04
1996,4,11,9.99
1996,4,12,10.61
1996,4,13,15.08
1996,4,14,8.35
1996,4,15,8.39
1996,4,16,10.35
1996,4,17,9.62
1996,4,18,9.17
1996,4,19,11.62
1996,4,20,10.78
1996,4,21,15.54
1996,4,22,10.77
1996,4,23,8.9
1996,4,24,10.18
1996,4,25,11.64
1996,4,26,7.33
1996,4,27,5.53
1996,4,28,5.48
1996,4,29,5.5
1996,4,30,13.12
1996,5,1,11.21
1996,5,2,8.53
1996,5,3,10.38
1996,5,4,9.9
1996,5,5,8.28
1996,5,6,8.43
1996,5,7,9.58
1996,5,8,16.83
1996,5,9,26.56
1996,5,10,30.51
1996,5,11,11.85
1996,5,12,12.07
1996,5,13,10.68
1996,5,14,8.8
1996,5,15,10.61
1996,5,16,7.94
