-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/1993 through 09/08/2026 in LST
Location: latitude  -67.6026   longitude 62.8736 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 253.13 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
RH2M     MERRA-2 Relative Humidity at 2 Meters (%) 
-END HEADER-
YEAR,MO,DY,RH2M
1993,4,30,89.15
1993,5,1,90.76
1993,5,2,83.57
1993,5,3,93.09
1993,5,4,93.59
1993,5,5,94.35
1993,5,6,89.47
1993,5,7,70.36
1993,5,8,69.85
1993,5,9,52.75
1993,5,10,72.37
1993,5,11,82.13
1993,5,12,83.6
1993,5,13,89.11
1993,5,14,93.28
1993,5,15,97.4
1993,5,16,92.32
1993,5,17,70.6
1993,5,18,68.86
1993,5,19,66.87
1993,5,20,68.81
1993,5,21,70.0
1993,5,22,80.77
1993,5,23,80.94
1993,5,24,74.55
1993,5,25,86.43
1993,5,26,60.31
1993,5,27,61.27
1993,5,28,63.71
1993,5,29,50.7
1993,5,30,74.63
1993,5,31,70.25
1993,6,1,85.87
1993,6,2,77.55
1993,6,3,80.91
1993,6,4,84.6
1993,6,5,77.28
1993,6,6,87.43
1993,6,7,88.19
1993,6,8,70.82
1993,6,9,66.3
1993,6,10,71.51
1993,6,11,69.2
1993,6,12,63.66
1993,6,13,90.35
1993,6,14,83.6
1993,6,15,78.88
1993,6,16,69.98
1993,6,17,89.17
1993,6,18,88.81
1993,6,19,91.07
1993,6,20,83.63
1993,6,21,70.5
1993,6,22,78.39
1993,6,23,73.46
1993,6,24,75.85
1993,6,25,79.39
1993,6,26,78.37
1993,6,27,84.57
1993,6,28,90.08
1993,6,29,72.9
1993,6,30,73.61
1993,7,1,75.81
1993,7,2,71.77
1993,7,3,70.79
1993,7,4,69.23
1993,7,5,69.32
1993,7,6,68.11
1993,7,7,73.62
1993,7,8,82.55
1993,7,9,86.33
1993,7,10,90.87
1993,7,11,91.27
1993,7,12,100.0
1993,7,13,90.03
1993,7,14,78.24
1993,7,15,79.39
1993,7,16,86.42
1993,7,17,99.87
1993,7,18,99.13
1993,7,19,75.76
1993,7,20,97.25
1993,7,21,82.63
1993,7,22,90.91
1993,7,23,71.35
1993,7,24,79.19
1993,7,25,90.23
1993,7,26,79.98
1993,7,27,76.9
1993,7,28,85.8
1993,7,29,76.34
1993,7,30,73.85
1993,7,31,76.84
1993,8,1,69.65
1993,8,2,75.61
1993,8,3,82.43
1993,8,4,72.92
1993,8,5,66.15
1993,8,6,76.09
1993,8,7,81.46
1993,8,8,76.15
1993,8,9,92.74
1993,8,10,87.92
1993,8,11,89.38
1993,8,12,85.07
1993,8,13,68.72
1993,8,14,73.19
1993,8,15,62.18
1993,8,16,63.62
1993,8,17,70.36
1993,8,18,66.8
1993,8,19,80.19
1993,8,20,78.94
1993,8,21,74.78
1993,8,22,93.94
1993,8,23,98.2
1993,8,24,100.0
1993,8,25,100.0
1993,8,26,99.99
1993,8,27,100.0
1993,8,28,99.88
1993,8,29,98.18
1993,8,30,85.6
1993,8,31,65.65
1993,9,1,69.54
1993,9,2,79.79
1993,9,3,82.68
1993,9,4,63.29
1993,9,5,76.84
1993,9,6,85.88
1993,9,7,96.7
1993,9,8,98.73
1993,9,9,84.51
1993,9,10,78.37
1993,9,11,81.6
1993,9,12,75.35
1993,9,13,58.68
1993,9,14,72.08
1993,9,15,84.85
1993,9,16,85.21
1993,9,17,69.03
1993,9,18,60.97
1993,9,19,79.95
1993,9,20,73.32
1993,9,21,66.0
1993,9,22,70.6
1993,9,23,78.29
1993,9,24,74.53
1993,9,25,84.62
1993,9,26,76.3
1993,9,27,74.3
1993,9,28,66.46
1993,9,29,67.78
1993,9,30,75.12
1993,10,1,67.27
1993,10,2,71.0
1993,10,3,70.72
1993,10,4,68.59
1993,10,5,70.69
1993,10,6,70.65
1993,10,7,80.31
1993,10,8,73.43
1993,10,9,75.6
1993,10,10,66.67
1993,10,11,70.59
1993,10,12,89.27
1993,10,13,73.26
1993,10,14,63.08
1993,10,15,62.45
1993,10,16,57.62
1993,10,17,77.62
1993,10,18,75.26
1993,10,19,69.3
1993,10,20,68.08
1993,10,21,67.85
1993,10,22,76.31
1993,10,23,64.5
1993,10,24,60.29
1993,10,25,67.3
1993,10,26,69.3
1993,10,27,73.66
1993,10,28,70.31
1993,10,29,66.49
1993,10,30,67.72
1993,10,31,64.31
1993,11,1,69.74
1993,11,2,71.49
1993,11,3,70.79
1993,11,4,67.46
1993,11,5,67.63
1993,11,6,64.03
1993,11,7,61.09
1993,11,8,64.34
1993,11,9,65.13
1993,11,10,67.33
1993,11,11,71.61
1993,11,12,66.22
1993,11,13,65.53
1993,11,14,68.97
1993,11,15,72.57
1993,11,16,67.62
1993,11,17,62.3
1993,11,18,60.66
1993,11,19,66.65
1993,11,20,62.42
1993,11,21,58.56
1993,11,22,62.41
1993,11,23,60.3
1993,11,24,58.81
1993,11,25,62.26
1993,11,26,60.89
1993,11,27,61.48
1993,11,28,73.5
1993,11,29,63.74
1993,11,30,61.48
1993,12,1,65.28
1993,12,2,65.06
1993,12,3,66.3
1993,12,4,62.67
1993,12,5,61.5
1993,12,6,61.78
1993,12,7,63.36
1993,12,8,60.97
1993,12,9,56.02
1993,12,10,61.8
1993,12,11,58.71
1993,12,12,60.8
1993,12,13,63.07
1993,12,14,57.77
1993,12,15,65.68
1993,12,16,64.11
1993,12,17,65.07
1993,12,18,63.04
1993,12,19,70.5
1993,12,20,73.67
1993,12,21,76.7
1993,12,22,74.94
1993,12,23,67.86
1993,12,24,67.53
1993,12,25,63.47
1993,12,26,80.2
1993,12,27,73.92
1993,12,28,70.66
1993,12,29,88.95
1993,12,30,76.08
1993,12,31,84.78
1994,1,1,59.58
1994,1,2,71.04
1994,1,3,74.62
1994,1,4,67.36
1994,1,5,74.84
1994,1,6,89.59
1994,1,7,87.92
1994,1,8,81.52
1994,1,9,85.84
1994,1,10,80.31
1994,1,11,83.79
1994,1,12,76.81
1994,1,13,85.74
1994,1,14,74.39
1994,1,15,72.13
1994,1,16,65.62
1994,1,17,59.08
1994,1,18,66.98
1994,1,19,80.81
1994,1,20,81.92
1994,1,21,71.12
1994,1,22,69.97
1994,1,23,79.8
1994,1,24,80.38
1994,1,25,81.15
1994,1,26,72.68
1994,1,27,71.04
1994,1,28,80.53
1994,1,29,61.12
1994,1,30,66.82
1994,1,31,63.51
1994,2,1,61.12
1994,2,2,62.66
1994,2,3,72.29
1994,2,4,66.16
1994,2,5,65.3
1994,2,6,63.68
1994,2,7,67.22
1994,2,8,62.21
1994,2,9,59.36
1994,2,10,66.15
1994,2,11,79.1
1994,2,12,67.73
1994,2,13,67.47
1994,2,14,65.84
1994,2,15,70.97
1994,2,16,62.64
1994,2,17,72.2
1994,2,18,69.29
1994,2,19,66.48
1994,2,20,62.88
1994,2,21,58.69
1994,2,22,66.5
1994,2,23,65.33
1994,2,24,61.5
1994,2,25,68.98
1994,2,26,66.89
1994,2,27,69.52
1994,2,28,70.07
1994,3,1,66.46
1994,3,2,75.17
1994,3,3,73.58
1994,3,4,71.08
1994,3,5,73.31
1994,3,6,68.52
1994,3,7,65.94
1994,3,8,70.76
1994,3,9,85.11
1994,3,10,79.21
1994,3,11,83.07
1994,3,12,83.61
1994,3,13,92.55
1994,3,14,82.39
1994,3,15,83.21
1994,3,16,82.58
1994,3,17,77.68
1994,3,18,67.29
1994,3,19,69.32
1994,3,20,80.33
1994,3,21,69.41
1994,3,22,80.49
1994,3,23,80.27
1994,3,24,77.68
1994,3,25,80.34
1994,3,26,80.03
1994,3,27,60.67
1994,3,28,70.69
1994,3,29,64.46
1994,3,30,69.61
1994,3,31,72.13
1994,4,1,63.84
1994,4,2,57.03
1994,4,3,60.32
1994,4,4,71.16
1994,4,5,85.75
1994,4,6,99.79
1994,4,7,77.52
1994,4,8,65.18
1994,4,9,77.21
1994,4,10,86.66
1994,4,11,77.48
1994,4,12,64.32
1994,4,13,65.91
1994,4,14,72.6
1994,4,15,76.4
1994,4,16,77.78
1994,4,17,81.24
1994,4,18,80.78
1994,4,19,67.82
1994,4,20,79.06
1994,4,21,78.51
1994,4,22,71.48
1994,4,23,80.19
1994,4,24,90.15
1994,4,25,87.69
1994,4,26,85.44
1994,4,27,95.37
1994,4,28,93.13
1994,4,29,81.87
1994,4,30,90.8
1994,5,1,88.16
1994,5,2,86.8
1994,5,3,86.09
1994,5,4,93.45
1994,5,5,71.05
1994,5,6,68.08
1994,5,7,68.09
1994,5,8,74.29
1994,5,9,81.01
1994,5,10,74.56
1994,5,11,69.3
1994,5,12,68.64
1994,5,13,70.7
1994,5,14,86.05
1994,5,15,88.03
1994,5,16,78.4
1994,5,17,69.81
1994,5,18,80.48
1994,5,19,84.52
1994,5,20,97.34
1994,5,21,93.67
1994,5,22,80.03
1994,5,23,69.46
1994,5,24,68.81
1994,5,25,74.4
1994,5,26,77.69
1994,5,27,81.56
1994,5,28,80.01
1994,5,29,84.84
1994,5,30,78.62
1994,5,31,68.73
1994,6,1,71.49
1994,6,2,71.3
1994,6,3,76.93
1994,6,4,74.07
1994,6,5,79.92
1994,6,6,79.61
1994,6,7,78.6
1994,6,8,75.35
1994,6,9,84.4
1994,6,10,75.22
1994,6,11,68.59
1994,6,12,64.5
1994,6,13,75.02
1994,6,14,71.51
1994,6,15,58.62
1994,6,16,70.29
1994,6,17,72.34
1994,6,18,61.26
1994,6,19,60.62
1994,6,20,66.55
1994,6,21,72.38
1994,6,22,70.99
1994,6,23,71.46
1994,6,24,73.01
1994,6,25,74.3
1994,6,26,74.34
1994,6,27,69.32
1994,6,28,75.84
1994,6,29,76.55
1994,6,30,66.28
1994,7,1,66.93
1994,7,2,62.9
1994,7,3,62.36
1994,7,4,68.64
1994,7,5,83.89
1994,7,6,82.63
1994,7,7,66.62
1994,7,8,63.9
1994,7,9,62.08
1994,7,10,71.89
1994,7,11,69.1
1994,7,12,84.7
1994,7,13,77.42
1994,7,14,74.09
1994,7,15,70.25
1994,7,16,65.87
1994,7,17,64.6
1994,7,18,71.56
1994,7,19,76.5
1994,7,20,70.11
1994,7,21,69.4
1994,7,22,70.94
1994,7,23,75.79
1994,7,24,77.29
1994,7,25,78.63
1994,7,26,79.81
1994,7,27,86.62
1994,7,28,85.18
1994,7,29,69.51
1994,7,30,68.79
1994,7,31,73.78
1994,8,1,81.76
1994,8,2,76.33
1994,8,3,71.17
1994,8,4,80.81
1994,8,5,80.34
1994,8,6,70.25
1994,8,7,76.38
1994,8,8,92.13
1994,8,9,76.62
1994,8,10,90.71
1994,8,11,88.58
1994,8,12,85.73
1994,8,13,72.3
1994,8,14,71.99
1994,8,15,86.5
1994,8,16,68.27
1994,8,17,56.62
1994,8,18,75.4
1994,8,19,79.89
1994,8,20,89.89
1994,8,21,91.9
1994,8,22,99.99
1994,8,23,92.65
1994,8,24,65.17
1994,8,25,64.58
1994,8,26,84.88
1994,8,27,83.05
1994,8,28,93.61
1994,8,29,93.63
1994,8,30,76.02
1994,8,31,58.59
1994,9,1,58.7
1994,9,2,67.19
1994,9,3,72.04
1994,9,4,67.94
1994,9,5,72.73
1994,9,6,69.11
1994,9,7,70.17
1994,9,8,87.0
1994,9,9,82.07
1994,9,10,71.3
1994,9,11,78.83
1994,9,12,88.9
1994,9,13,85.45
1994,9,14,80.02
1994,9,15,80.49
1994,9,16,72.39
1994,9,17,62.92
1994,9,18,67.53
1994,9,19,73.93
1994,9,20,69.99
1994,9,21,69.39
1994,9,22,75.1
1994,9,23,79.71
1994,9,24,80.17
1994,9,25,73.4
1994,9,26,80.73
1994,9,27,76.49
1994,9,28,72.82
1994,9,29,72.41
1994,9,30,67.15
1994,10,1,65.34
1994,10,2,62.87
1994,10,3,67.27
1994,10,4,69.86
1994,10,5,70.04
1994,10,6,80.78
1994,10,7,76.27
1994,10,8,67.84
1994,10,9,70.41
1994,10,10,70.73
1994,10,11,70.9
1994,10,12,76.1
1994,10,13,75.82
1994,10,14,66.33
1994,10,15,69.99
1994,10,16,75.06
1994,10,17,71.66
1994,10,18,73.15
1994,10,19,70.94
1994,10,20,82.88
1994,10,21,80.96
1994,10,22,68.2
1994,10,23,72.53
1994,10,24,69.96
1994,10,25,68.33
1994,10,26,64.31
1994,10,27,59.82
1994,10,28,67.17
1994,10,29,70.59
1994,10,30,70.31
1994,10,31,69.33
1994,11,1,66.59
1994,11,2,68.11
1994,11,3,69.15
1994,11,4,69.94
1994,11,5,78.22
1994,11,6,71.45
1994,11,7,69.35
1994,11,8,72.38
1994,11,9,72.05
1994,11,10,74.43
1994,11,11,62.94
1994,11,12,64.17
1994,11,13,71.02
1994,11,14,73.03
1994,11,15,69.81
1994,11,16,67.55
1994,11,17,58.65
1994,11,18,59.34
1994,11,19,60.81
1994,11,20,65.47
1994,11,21,67.37
1994,11,22,60.37
1994,11,23,62.22
1994,11,24,61.54
1994,11,25,62.49
1994,11,26,68.19
1994,11,27,62.0
1994,11,28,62.18
1994,11,29,66.32
1994,11,30,59.51
1994,12,1,65.82
1994,12,2,61.42
1994,12,3,63.52
1994,12,4,76.43
1994,12,5,71.38
1994,12,6,69.58
1994,12,7,71.17
1994,12,8,74.7
1994,12,9,67.54
1994,12,10,61.28
1994,12,11,63.35
1994,12,12,69.2
1994,12,13,63.93
1994,12,14,70.27
1994,12,15,79.84
1994,12,16,76.55
1994,12,17,67.54
1994,12,18,70.38
1994,12,19,68.45
1994,12,20,70.58
1994,12,21,71.37
1994,12,22,66.77
1994,12,23,69.51
1994,12,24,69.15
1994,12,25,63.49
1994,12,26,76.37
1994,12,27,72.56
1994,12,28,71.56
1994,12,29,67.54
1994,12,30,68.76
1994,12,31,65.31
1995,1,1,62.27
1995,1,2,69.02
1995,1,3,60.6
1995,1,4,71.93
1995,1,5,68.35
1995,1,6,65.04
1995,1,7,65.76
1995,1,8,76.1
1995,1,9,80.33
1995,1,10,77.13
1995,1,11,86.44
1995,1,12,74.66
1995,1,13,72.73
1995,1,14,69.39
1995,1,15,78.02
1995,1,16,76.86
1995,1,17,87.87
1995,1,18,67.33
1995,1,19,68.57
1995,1,20,64.6
1995,1,21,61.85
1995,1,22,62.17
1995,1,23,59.19
1995,1,24,59.04
1995,1,25,58.81
1995,1,26,66.4
1995,1,27,63.94
1995,1,28,61.23
1995,1,29,72.73
1995,1,30,66.83
1995,1,31,64.5
1995,2,1,62.48
1995,2,2,64.01
1995,2,3,66.05
1995,2,4,75.29
1995,2,5,68.62
1995,2,6,54.26
1995,2,7,59.92
1995,2,8,60.6
1995,2,9,61.88
1995,2,10,61.36
1995,2,11,61.22
1995,2,12,64.25
1995,2,13,74.65
1995,2,14,67.09
1995,2,15,69.18
1995,2,16,79.17
1995,2,17,67.98
1995,2,18,58.79
1995,2,19,58.8
1995,2,20,63.03
1995,2,21,60.74
1995,2,22,85.59
1995,2,23,69.86
1995,2,24,65.42
1995,2,25,69.37
1995,2,26,67.56
1995,2,27,67.16
1995,2,28,59.65
1995,3,1,73.61
1995,3,2,76.53
1995,3,3,73.18
1995,3,4,75.47
1995,3,5,79.58
1995,3,6,67.39
1995,3,7,65.52
1995,3,8,59.44
1995,3,9,68.45
1995,3,10,68.42
1995,3,11,59.94
1995,3,12,59.92
1995,3,13,67.47
1995,3,14,74.6
1995,3,15,73.19
1995,3,16,73.6
1995,3,17,73.18
1995,3,18,73.69
1995,3,19,70.59
1995,3,20,69.17
1995,3,21,64.09
1995,3,22,67.27
1995,3,23,68.94
1995,3,24,71.76
1995,3,25,74.25
1995,3,26,61.6
1995,3,27,73.77
1995,3,28,69.93
1995,3,29,69.02
1995,3,30,65.33
1995,3,31,66.85
1995,4,1,70.38
1995,4,2,66.79
1995,4,3,60.84
1995,4,4,62.32
1995,4,5,64.39
1995,4,6,79.83
1995,4,7,67.64
1995,4,8,65.45
1995,4,9,68.87
1995,4,10,66.35
1995,4,11,68.15
1995,4,12,83.15
1995,4,13,74.99
1995,4,14,70.56
1995,4,15,76.95
1995,4,16,73.16
1995,4,17,58.08
1995,4,18,72.82
1995,4,19,72.05
1995,4,20,83.81
1995,4,21,82.22
1995,4,22,91.32
1995,4,23,74.74
1995,4,24,71.77
1995,4,25,68.95
1995,4,26,67.2
1995,4,27,83.87
1995,4,28,78.2
1995,4,29,82.07
1995,4,30,75.1
1995,5,1,64.55
1995,5,2,74.36
1995,5,3,73.01
1995,5,4,72.3
1995,5,5,73.42
1995,5,6,87.98
1995,5,7,81.82
1995,5,8,82.4
1995,5,9,84.31
1995,5,10,79.22
1995,5,11,81.46
1995,5,12,82.08
1995,5,13,68.33
1995,5,14,84.99
1995,5,15,77.59
1995,5,16,72.5
1995,5,17,73.92
1995,5,18,50.2
1995,5,19,82.71
1995,5,20,78.32
1995,5,21,69.76
1995,5,22,61.32
1995,5,23,69.54
1995,5,24,88.75
1995,5,25,75.21
1995,5,26,78.26
1995,5,27,70.92
1995,5,28,75.84
1995,5,29,80.32
1995,5,30,81.89
1995,5,31,85.66
1995,6,1,94.44
1995,6,2,72.58
1995,6,3,78.04
1995,6,4,65.95
1995,6,5,78.95
1995,6,6,85.11
1995,6,7,73.42
1995,6,8,71.32
1995,6,9,75.16
1995,6,10,83.59
1995,6,11,77.15
1995,6,12,56.72
1995,6,13,64.57
1995,6,14,68.67
1995,6,15,89.14
1995,6,16,90.31
1995,6,17,91.78
1995,6,18,88.68
1995,6,19,88.42
1995,6,20,89.87
1995,6,21,90.57
1995,6,22,74.54
1995,6,23,70.12
1995,6,24,63.59
1995,6,25,71.35
1995,6,26,97.87
1995,6,27,88.54
1995,6,28,74.85
1995,6,29,69.68
1995,6,30,68.63
1995,7,1,64.74
1995,7,2,70.24
1995,7,3,71.54
1995,7,4,69.63
1995,7,5,68.39
1995,7,6,69.96
1995,7,7,75.9
1995,7,8,76.28
1995,7,9,89.76
1995,7,10,70.22
1995,7,11,87.72
1995,7,12,68.36
1995,7,13,54.69
1995,7,14,61.75
1995,7,15,63.73
1995,7,16,62.83
1995,7,17,73.66
1995,7,18,70.52
1995,7,19,69.26
1995,7,20,73.94
1995,7,21,75.83
1995,7,22,77.33
1995,7,23,80.26
1995,7,24,68.83
1995,7,25,72.47
1995,7,26,71.54
1995,7,27,76.03
1995,7,28,92.12
1995,7,29,76.78
1995,7,30,59.65
1995,7,31,60.19
1995,8,1,73.99
1995,8,2,69.63
1995,8,3,67.71
1995,8,4,70.08
1995,8,5,72.1
1995,8,6,76.97
1995,8,7,88.74
1995,8,8,78.86
1995,8,9,77.08
1995,8,10,70.29
1995,8,11,69.67
1995,8,12,81.34
1995,8,13,72.02
1995,8,14,74.79
1995,8,15,75.79
1995,8,16,81.86
1995,8,17,81.67
1995,8,18,92.36
1995,8,19,91.68
1995,8,20,99.39
1995,8,21,83.18
1995,8,22,85.39
1995,8,23,87.97
1995,8,24,95.88
1995,8,25,92.94
1995,8,26,71.74
1995,8,27,73.89
1995,8,28,79.03
1995,8,29,68.76
1995,8,30,83.45
1995,8,31,79.71
1995,9,1,81.86
1995,9,2,73.28
1995,9,3,75.57
1995,9,4,61.94
1995,9,5,72.03
1995,9,6,70.53
1995,9,7,68.1
1995,9,8,74.07
1995,9,9,76.55
1995,9,10,77.18
1995,9,11,82.99
1995,9,12,89.5
1995,9,13,96.17
1995,9,14,96.56
1995,9,15,87.87
1995,9,16,73.15
1995,9,17,73.56
1995,9,18,82.57
1995,9,19,72.68
1995,9,20,81.79
1995,9,21,88.13
1995,9,22,67.4
1995,9,23,67.27
1995,9,24,79.98
1995,9,25,79.12
1995,9,26,78.55
1995,9,27,75.05
1995,9,28,80.67
1995,9,29,72.16
1995,9,30,69.79
1995,10,1,66.81
1995,10,2,75.75
1995,10,3,70.73
1995,10,4,79.2
1995,10,5,72.9
1995,10,6,75.61
1995,10,7,71.47
1995,10,8,72.94
1995,10,9,75.76
1995,10,10,74.18
1995,10,11,75.23
1995,10,12,65.58
1995,10,13,80.38
1995,10,14,69.54
1995,10,15,65.55
1995,10,16,66.76
1995,10,17,68.71
1995,10,18,69.55
1995,10,19,70.29
1995,10,20,73.71
1995,10,21,66.08
1995,10,22,63.83
1995,10,23,66.68
1995,10,24,57.35
1995,10,25,63.34
1995,10,26,77.49
1995,10,27,63.26
1995,10,28,59.68
1995,10,29,60.85
1995,10,30,67.36
1995,10,31,73.21
1995,11,1,68.78
1995,11,2,68.78
1995,11,3,62.31
1995,11,4,59.02
1995,11,5,70.67
1995,11,6,69.19
1995,11,7,60.57
1995,11,8,60.98
1995,11,9,65.76
1995,11,10,65.44
1995,11,11,65.68
1995,11,12,65.64
1995,11,13,65.02
1995,11,14,70.25
1995,11,15,63.26
1995,11,16,64.33
1995,11,17,71.31
1995,11,18,78.55
1995,11,19,72.75
1995,11,20,69.24
1995,11,21,68.55
1995,11,22,66.36
1995,11,23,64.09
1995,11,24,69.96
1995,11,25,62.38
1995,11,26,62.89
1995,11,27,76.14
1995,11,28,63.44
1995,11,29,67.64
1995,11,30,65.52
1995,12,1,76.02
1995,12,2,75.66
1995,12,3,76.02
1995,12,4,78.82
1995,12,5,71.14
1995,12,6,69.05
1995,12,7,73.91
1995,12,8,67.2
1995,12,9,64.99
1995,12,10,59.04
1995,12,11,75.38
1995,12,12,72.81
1995,12,13,73.72
1995,12,14,72.46
1995,12,15,64.63
1995,12,16,66.68
1995,12,17,66.04
1995,12,18,69.32
1995,12,19,65.81
1995,12,20,66.42
1995,12,21,64.62
1995,12,22,63.5
1995,12,23,76.44
1995,12,24,68.93
1995,12,25,73.01
1995,12,26,68.03
1995,12,27,75.31
1995,12,28,79.34
1995,12,29,68.35
1995,12,30,67.13
1995,12,31,63.53
1996,1,1,75.88
1996,1,2,83.92
1996,1,3,84.12
1996,1,4,72.33
1996,1,5,72.82
1996,1,6,80.58
1996,1,7,64.1
1996,1,8,70.09
1996,1,9,75.91
1996,1,10,92.76
1996,1,11,69.71
1996,1,12,69.93
1996,1,13,73.33
1996,1,14,71.93
1996,1,15,73.71
1996,1,16,67.78
1996,1,17,67.83
1996,1,18,64.91
1996,1,19,65.58
1996,1,20,76.97
1996,1,21,74.66
1996,1,22,67.71
1996,1,23,65.68
1996,1,24,64.63
1996,1,25,65.45
1996,1,26,65.84
1996,1,27,63.62
1996,1,28,69.24
1996,1,29,67.16
1996,1,30,54.56
1996,1,31,54.6
1996,2,1,62.2
1996,2,2,66.02
1996,2,3,72.35
1996,2,4,77.71
1996,2,5,70.89
1996,2,6,69.19
1996,2,7,63.39
1996,2,8,62.03
1996,2,9,72.31
1996,2,10,75.97
1996,2,11,78.21
1996,2,12,69.36
1996,2,13,59.66
1996,2,14,79.47
1996,2,15,61.05
1996,2,16,64.89
1996,2,17,71.81
1996,2,18,66.47
1996,2,19,68.46
1996,2,20,66.28
1996,2,21,68.3
1996,2,22,70.85
1996,2,23,83.69
1996,2,24,68.63
1996,2,25,67.96
1996,2,26,73.64
1996,2,27,73.15
1996,2,28,65.38
1996,2,29,57.64
1996,3,1,64.03
1996,3,2,68.68
1996,3,3,62.49
1996,3,4,76.62
1996,3,5,64.19
1996,3,6,68.07
1996,3,7,71.28
1996,3,8,77.28
1996,3,9,70.16
1996,3,10,76.1
1996,3,11,80.97
1996,3,12,78.97
1996,3,13,74.15
1996,3,14,71.75
1996,3,15,88.55
1996,3,16,90.75
1996,3,17,66.14
1996,3,18,71.07
1996,3,19,72.49
1996,3,20,65.69
1996,3,21,67.01
1996,3,22,75.75
1996,3,23,88.21
1996,3,24,76.03
1996,3,25,62.55
1996,3,26,63.53
1996,3,27,84.05
1996,3,28,78.44
1996,3,29,67.62
1996,3,30,79.74
1996,3,31,73.77
1996,4,1,69.44
1996,4,2,71.9
1996,4,3,70.45
1996,4,4,71.13
1996,4,5,67.35
1996,4,6,76.0
1996,4,7,80.28
1996,4,8,78.36
1996,4,9,74.49
1996,4,10,78.75
1996,4,11,84.47
1996,4,12,78.48
1996,4,13,64.88
1996,4,14,73.19
1996,4,15,67.7
1996,4,16,61.31
1996,4,17,80.44
1996,4,18,73.82
1996,4,19,70.4
1996,4,20,75.51
1996,4,21,63.19
1996,4,22,69.05
1996,4,23,71.61
1996,4,24,84.73
1996,4,25,79.48
1996,4,26,66.8
1996,4,27,82.56
1996,4,28,79.92
1996,4,29,85.84
1996,4,30,76.13
1996,5,1,77.27
1996,5,2,77.63
1996,5,3,84.05
1996,5,4,79.5
1996,5,5,83.23
1996,5,6,97.53
1996,5,7,90.81
1996,5,8,88.01
1996,5,9,72.32
1996,5,10,55.66
1996,5,11,63.57
1996,5,12,86.42
1996,5,13,93.83
1996,5,14,78.66
1996,5,15,93.48
1996,5,16,82.48
