-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/1993 through 09/08/2026 in LST
Location: latitude  -67.6026   longitude 62.8736 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 253.13 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
-END HEADER-
YEAR,MO,DY,WD50M
1994,2,3,116.7
1994,2,4,128.5
1994,2,5,125.4
1994,2,6,116.8
1994,2,7,112.3
1994,2,8,126.4
1994,2,9,140.6
1994,2,10,134.6
1994,2,11,114.4
1994,2,12,119.4
1994,2,13,139.0
1994,2,14,130.1
1994,2,15,125.0
1994,2,16,130.0
1994,2,17,132.0
1994,2,18,142.3
1994,2,19,161.5
1994,2,20,160.3
1994,2,21,152.5
1994,2,22,144.5
1994,2,23,141.5
1994,2,24,143.1
1994,2,25,130.8
1994,2,26,153.9
1994,2,27,164.1
1994,2,28,159.5
1994,3,1,149.1
1994,3,2,127.9
1994,3,3,138.7
1994,3,4,130.6
1994,3,5,130.2
1994,3,6,135.8
1994,3,7,148.4
1994,3,8,148.8
1994,3,9,136.1
1994,3,10,150.1
1994,3,11,167.0
1994,3,12,152.2
1994,3,13,138.8
1994,3,14,144.3
1994,3,15,132.8
1994,3,16,156.3
1994,3,17,151.8
1994,3,18,138.9
1994,3,19,127.9
1994,3,20,123.6
1994,3,21,142.0
1994,3,22,137.9
1994,3,23,144.3
1994,3,24,170.2
1994,3,25,138.7
1994,3,26,120.4
1994,3,27,157.8
1994,3,28,115.0
1994,3,29,136.1
1994,3,30,138.8
1994,3,31,146.7
1994,4,1,147.9
1994,4,2,159.3
1994,4,3,156.6
1994,4,4,125.6
1994,4,5,144.6
1994,4,6,147.5
1994,4,7,154.9
1994,4,8,144.5
1994,4,9,132.1
1994,4,10,146.6
1994,4,11,121.3
1994,4,12,132.5
1994,4,13,140.1
1994,4,14,130.7
1994,4,15,117.9
1994,4,16,125.0
1994,4,17,141.6
1994,4,18,137.6
1994,4,19,139.8
1994,4,20,125.6
1994,4,21,137.8
1994,4,22,136.1
1994,4,23,136.0
1994,4,24,136.6
1994,4,25,138.2
1994,4,26,151.8
1994,4,27,147.8
1994,4,28,166.7
1994,4,29,168.5
1994,4,30,110.2
1994,5,1,110.1
1994,5,2,159.2
1994,5,3,159.1
1994,5,4,137.2
1994,5,5,164.1
1994,5,6,148.3
1994,5,7,159.6
1994,5,8,144.7
1994,5,9,139.3
1994,5,10,167.1
1994,5,11,125.2
1994,5,12,136.1
1994,5,13,136.8
1994,5,14,131.2
1994,5,15,111.7
1994,5,16,116.7
1994,5,17,133.1
1994,5,18,128.3
1994,5,19,135.7
1994,5,20,143.0
1994,5,21,124.3
1994,5,22,128.6
1994,5,23,146.4
1994,5,24,145.0
1994,5,25,170.1
1994,5,26,158.8
1994,5,27,153.7
1994,5,28,154.7
1994,5,29,144.7
1994,5,30,129.4
1994,5,31,139.1
1994,6,1,139.1
1994,6,2,138.1
1994,6,3,92.9
1994,6,4,76.7
1994,6,5,157.8
1994,6,6,135.3
1994,6,7,137.1
1994,6,8,151.3
1994,6,9,124.6
1994,6,10,131.2
1994,6,11,146.5
1994,6,12,133.0
1994,6,13,116.8
1994,6,14,114.3
1994,6,15,120.7
1994,6,16,126.0
1994,6,17,123.9
1994,6,18,126.4
1994,6,19,135.6
1994,6,20,132.6
1994,6,21,125.8
1994,6,22,131.9
1994,6,23,130.9
1994,6,24,137.1
1994,6,25,122.1
1994,6,26,117.5
1994,6,27,132.2
1994,6,28,163.3
1994,6,29,128.9
1994,6,30,129.5
1994,7,1,134.6
1994,7,2,136.9
1994,7,3,143.4
1994,7,4,152.6
1994,7,5,139.8
1994,7,6,112.4
1994,7,7,116.7
1994,7,8,135.2
1994,7,9,144.0
1994,7,10,145.2
1994,7,11,149.1
1994,7,12,128.4
1994,7,13,128.5
1994,7,14,132.2
1994,7,15,125.2
1994,7,16,135.2
1994,7,17,125.2
1994,7,18,139.1
1994,7,19,146.0
1994,7,20,147.4
1994,7,21,125.5
1994,7,22,117.8
1994,7,23,121.1
1994,7,24,130.7
1994,7,25,141.0
1994,7,26,156.1
1994,7,27,139.4
1994,7,28,149.7
1994,7,29,183.8
1994,7,30,133.0
1994,7,31,133.5
1994,8,1,144.5
1994,8,2,128.6
1994,8,3,143.0
1994,8,4,128.9
1994,8,5,142.5
1994,8,6,147.3
1994,8,7,204.2
1994,8,8,154.5
1994,8,9,179.5
1994,8,10,54.6
1994,8,11,110.8
1994,8,12,112.0
1994,8,13,125.2
1994,8,14,132.7
1994,8,15,150.5
1994,8,16,167.1
1994,8,17,149.3
1994,8,18,112.3
1994,8,19,125.4
1994,8,20,156.9
1994,8,21,123.3
1994,8,22,135.6
1994,8,23,148.1
1994,8,24,155.8
1994,8,25,152.3
1994,8,26,129.9
1994,8,27,131.6
1994,8,28,124.8
1994,8,29,123.5
1994,8,30,130.8
1994,8,31,129.4
1994,9,1,135.2
1994,9,2,146.5
1994,9,3,126.5
1994,9,4,126.1
1994,9,5,136.8
1994,9,6,150.4
1994,9,7,163.3
1994,9,8,134.5
1994,9,9,144.4
1994,9,10,157.6
1994,9,11,133.6
1994,9,12,269.2
1994,9,13,156.0
1994,9,14,139.8
1994,9,15,131.6
1994,9,16,123.6
1994,9,17,134.9
1994,9,18,148.9
1994,9,19,134.1
1994,9,20,140.7
1994,9,21,132.4
1994,9,22,132.3
1994,9,23,142.5
1994,9,24,145.6
1994,9,25,142.2
1994,9,26,121.0
1994,9,27,119.9
1994,9,28,129.4
1994,9,29,142.4
1994,9,30,143.4
1994,10,1,123.5
1994,10,2,136.5
1994,10,3,137.7
1994,10,4,136.7
1994,10,5,131.8
1994,10,6,94.2
1994,10,7,117.4
1994,10,8,157.8
1994,10,9,150.0
1994,10,10,124.8
1994,10,11,141.5
1994,10,12,152.0
1994,10,13,129.9
1994,10,14,155.4
1994,10,15,127.7
1994,10,16,121.2
1994,10,17,116.7
1994,10,18,109.1
1994,10,19,117.6
1994,10,20,106.4
1994,10,21,107.2
1994,10,22,111.7
1994,10,23,181.8
1994,10,24,126.2
1994,10,25,109.7
1994,10,26,139.8
1994,10,27,148.2
1994,10,28,133.1
1994,10,29,136.6
1994,10,30,139.8
1994,10,31,141.7
1994,11,1,139.4
1994,11,2,140.6
1994,11,3,146.0
1994,11,4,135.8
1994,11,5,114.6
1994,11,6,126.9
1994,11,7,138.2
1994,11,8,133.2
1994,11,9,130.0
1994,11,10,122.2
1994,11,11,135.9
1994,11,12,138.8
1994,11,13,129.0
1994,11,14,131.0
1994,11,15,127.0
1994,11,16,119.5
1994,11,17,125.2
1994,11,18,125.6
1994,11,19,129.9
1994,11,20,125.7
1994,11,21,120.7
1994,11,22,119.9
1994,11,23,123.9
1994,11,24,123.8
1994,11,25,133.9
1994,11,26,131.9
1994,11,27,141.0
1994,11,28,135.3
1994,11,29,125.6
1994,11,30,138.6
1994,12,1,131.6
1994,12,2,142.1
1994,12,3,130.8
1994,12,4,117.3
1994,12,5,122.3
1994,12,6,128.3
1994,12,7,113.6
1994,12,8,116.5
1994,12,9,118.6
1994,12,10,143.7
1994,12,11,126.1
1994,12,12,120.5
1994,12,13,128.9
1994,12,14,128.3
1994,12,15,222.5
1994,12,16,118.7
1994,12,17,125.7
1994,12,18,125.0
1994,12,19,124.7
1994,12,20,126.4
1994,12,21,122.1
1994,12,22,126.6
1994,12,23,133.4
1994,12,24,159.5
1994,12,25,156.3
1994,12,26,116.8
1994,12,27,126.2
1994,12,28,125.9
1994,12,29,136.3
1994,12,30,134.2
1994,12,31,195.5
1995,1,1,133.8
1995,1,2,125.2
1995,1,3,192.8
1995,1,4,129.2
1995,1,5,126.7
1995,1,6,132.8
1995,1,7,129.8
1995,1,8,114.9
1995,1,9,129.0
1995,1,10,119.3
1995,1,11,266.8
1995,1,12,122.4
1995,1,13,123.1
1995,1,14,129.4
1995,1,15,235.6
1995,1,16,123.5
1995,1,17,80.4
1995,1,18,142.9
1995,1,19,136.2
1995,1,20,138.4
1995,1,21,127.2
1995,1,22,143.2
1995,1,23,140.3
1995,1,24,135.2
1995,1,25,128.1
1995,1,26,127.4
1995,1,27,157.1
1995,1,28,148.1
1995,1,29,134.8
1995,1,30,142.1
1995,1,31,141.3
1995,2,1,138.1
1995,2,2,113.5
1995,2,3,115.0
1995,2,4,118.2
1995,2,5,121.3
1995,2,6,130.1
1995,2,7,133.5
1995,2,8,135.5
1995,2,9,133.1
1995,2,10,141.3
1995,2,11,155.0
1995,2,12,120.8
1995,2,13,128.2
1995,2,14,126.9
1995,2,15,135.0
1995,2,16,116.3
1995,2,17,129.4
1995,2,18,140.9
1995,2,19,146.2
1995,2,20,162.9
1995,2,21,153.3
1995,2,22,106.4
1995,2,23,122.8
1995,2,24,131.4
1995,2,25,127.9
1995,2,26,138.4
1995,2,27,143.0
1995,2,28,159.3
1995,3,1,136.9
1995,3,2,132.4
1995,3,3,140.9
1995,3,4,134.7
1995,3,5,126.4
1995,3,6,137.9
1995,3,7,144.2
1995,3,8,167.4
1995,3,9,119.1
1995,3,10,122.2
1995,3,11,141.5
1995,3,12,136.3
1995,3,13,142.8
1995,3,14,138.7
1995,3,15,122.3
1995,3,16,134.5
1995,3,17,134.0
1995,3,18,145.5
1995,3,19,125.6
1995,3,20,125.7
1995,3,21,132.0
1995,3,22,139.5
1995,3,23,154.9
1995,3,24,146.1
1995,3,25,134.4
1995,3,26,137.1
1995,3,27,124.2
1995,3,28,145.6
1995,3,29,141.4
1995,3,30,172.0
1995,3,31,137.7
1995,4,1,128.2
1995,4,2,121.8
1995,4,3,128.3
1995,4,4,137.1
1995,4,5,143.3
1995,4,6,121.6
1995,4,7,135.1
1995,4,8,138.9
1995,4,9,133.5
1995,4,10,137.5
1995,4,11,148.3
1995,4,12,137.7
1995,4,13,130.0
1995,4,14,165.7
1995,4,15,119.4
1995,4,16,139.6
1995,4,17,168.9
1995,4,18,116.9
1995,4,19,130.6
1995,4,20,134.3
1995,4,21,167.0
1995,4,22,97.4
1995,4,23,156.2
1995,4,24,120.1
1995,4,25,143.2
1995,4,26,116.6
1995,4,27,108.1
1995,4,28,113.8
1995,4,29,107.5
1995,4,30,128.8
1995,5,1,146.4
1995,5,2,145.5
1995,5,3,137.8
1995,5,4,130.9
1995,5,5,142.3
1995,5,6,141.6
1995,5,7,162.6
1995,5,8,131.9
1995,5,9,111.9
1995,5,10,130.0
1995,5,11,138.2
1995,5,12,140.6
1995,5,13,149.9
1995,5,14,147.6
1995,5,15,130.2
1995,5,16,130.4
1995,5,17,141.1
1995,5,18,169.1
1995,5,19,146.3
1995,5,20,134.1
1995,5,21,129.1
1995,5,22,141.1
1995,5,23,146.0
1995,5,24,137.2
1995,5,25,141.6
1995,5,26,127.5
1995,5,27,126.2
1995,5,28,128.7
1995,5,29,126.9
1995,5,30,130.0
1995,5,31,139.9
1995,6,1,135.9
1995,6,2,150.7
1995,6,3,109.0
1995,6,4,146.6
1995,6,5,155.6
1995,6,6,133.0
1995,6,7,130.9
1995,6,8,130.8
1995,6,9,139.3
1995,6,10,128.1
1995,6,11,124.9
1995,6,12,134.7
1995,6,13,150.7
1995,6,14,138.8
1995,6,15,111.3
1995,6,16,153.1
1995,6,17,146.3
1995,6,18,128.2
1995,6,19,142.5
1995,6,20,148.4
1995,6,21,122.6
1995,6,22,139.6
1995,6,23,157.9
1995,6,24,153.0
1995,6,25,154.4
1995,6,26,96.5
1995,6,27,120.2
1995,6,28,146.8
1995,6,29,142.1
1995,6,30,129.9
1995,7,1,128.9
1995,7,2,136.7
1995,7,3,134.8
1995,7,4,143.8
1995,7,5,152.9
1995,7,6,131.3
1995,7,7,123.4
1995,7,8,118.1
1995,7,9,101.7
1995,7,10,121.2
1995,7,11,111.3
1995,7,12,125.8
1995,7,13,134.3
1995,7,14,135.4
1995,7,15,128.6
1995,7,16,148.0
1995,7,17,129.7
1995,7,18,123.8
1995,7,19,126.3
1995,7,20,134.2
1995,7,21,137.4
1995,7,22,133.2
1995,7,23,131.1
1995,7,24,132.8
1995,7,25,140.0
1995,7,26,129.5
1995,7,27,113.0
1995,7,28,98.1
1995,7,29,119.3
1995,7,30,126.2
1995,7,31,139.7
1995,8,1,133.0
1995,8,2,137.2
1995,8,3,144.0
1995,8,4,136.1
1995,8,5,131.3
1995,8,6,130.2
1995,8,7,116.2
1995,8,8,137.8
1995,8,9,129.5
1995,8,10,153.5
1995,8,11,146.1
1995,8,12,134.9
1995,8,13,155.0
1995,8,14,145.0
1995,8,15,140.2
1995,8,16,130.7
1995,8,17,140.1
1995,8,18,123.4
1995,8,19,165.8
1995,8,20,146.9
1995,8,21,160.3
1995,8,22,147.1
1995,8,23,136.4
1995,8,24,130.5
1995,8,25,137.6
1995,8,26,162.0
1995,8,27,136.2
1995,8,28,168.1
1995,8,29,134.4
1995,8,30,159.1
1995,8,31,138.9
1995,9,1,116.8
1995,9,2,145.1
1995,9,3,126.1
1995,9,4,142.3
1995,9,5,138.5
1995,9,6,136.1
1995,9,7,136.9
1995,9,8,126.3
1995,9,9,130.2
1995,9,10,137.0
1995,9,11,155.7
1995,9,12,139.6
1995,9,13,153.2
1995,9,14,133.7
1995,9,15,153.8
1995,9,16,157.2
1995,9,17,128.8
1995,9,18,125.5
1995,9,19,157.3
1995,9,20,144.7
1995,9,21,130.1
1995,9,22,132.8
1995,9,23,141.3
1995,9,24,108.3
1995,9,25,116.5
1995,9,26,139.3
1995,9,27,127.9
1995,9,28,108.7
1995,9,29,130.8
1995,9,30,144.7
1995,10,1,151.7
1995,10,2,137.5
1995,10,3,146.4
1995,10,4,120.1
1995,10,5,148.9
1995,10,6,133.2
1995,10,7,144.3
1995,10,8,137.2
1995,10,9,135.0
1995,10,10,128.2
1995,10,11,147.0
1995,10,12,132.6
1995,10,13,114.8
1995,10,14,134.8
1995,10,15,136.0
1995,10,16,152.8
1995,10,17,132.3
1995,10,18,136.7
1995,10,19,144.7
1995,10,20,136.2
1995,10,21,154.8
1995,10,22,154.6
1995,10,23,151.6
1995,10,24,174.9
1995,10,25,146.0
1995,10,26,121.1
1995,10,27,158.6
1995,10,28,150.1
1995,10,29,151.6
1995,10,30,142.3
1995,10,31,122.9
1995,11,1,130.9
1995,11,2,139.2
1995,11,3,146.2
1995,11,4,152.0
1995,11,5,135.5
1995,11,6,137.6
1995,11,7,137.5
1995,11,8,139.2
1995,11,9,140.0
1995,11,10,129.3
1995,11,11,142.6
1995,11,12,132.2
1995,11,13,125.0
1995,11,14,128.2
1995,11,15,129.3
1995,11,16,141.0
1995,11,17,134.9
1995,11,18,114.8
1995,11,19,125.5
1995,11,20,125.0
1995,11,21,125.6
1995,11,22,127.6
1995,11,23,133.8
1995,11,24,123.4
1995,11,25,149.5
1995,11,26,142.0
1995,11,27,118.1
1995,11,28,141.5
1995,11,29,129.8
1995,11,30,131.1
1995,12,1,111.5
1995,12,2,116.7
1995,12,3,114.6
1995,12,4,109.8
1995,12,5,121.7
1995,12,6,130.8
1995,12,7,124.2
1995,12,8,135.2
1995,12,9,144.7
1995,12,10,156.7
1995,12,11,113.7
1995,12,12,111.4
1995,12,13,114.3
1995,12,14,119.7
1995,12,15,131.4
1995,12,16,125.4
1995,12,17,141.3
1995,12,18,143.6
1995,12,19,126.4
1995,12,20,138.5
1995,12,21,143.9
1995,12,22,129.1
1995,12,23,114.1
1995,12,24,137.8
1995,12,25,130.4
1995,12,26,147.6
1995,12,27,134.4
1995,12,28,129.9
1995,12,29,128.5
1995,12,30,144.3
1995,12,31,146.5
1996,1,1,137.1
1996,1,2,107.8
1996,1,3,112.0
1996,1,4,116.8
1996,1,5,121.0
1996,1,6,115.8
1996,1,7,149.0
1996,1,8,177.9
1996,1,9,116.1
1996,1,10,98.1
1996,1,11,115.3
1996,1,12,122.5
1996,1,13,124.4
1996,1,14,133.1
1996,1,15,119.3
1996,1,16,135.7
1996,1,17,139.4
1996,1,18,133.6
1996,1,19,140.2
1996,1,20,120.8
1996,1,21,154.9
1996,1,22,128.4
1996,1,23,137.6
1996,1,24,144.0
1996,1,25,132.4
1996,1,26,134.1
1996,1,27,135.1
1996,1,28,118.5
1996,1,29,115.8
1996,1,30,147.0
1996,1,31,142.3
1996,2,1,138.5
1996,2,2,153.3
1996,2,3,120.7
1996,2,4,119.1
1996,2,5,132.5
1996,2,6,131.3
1996,2,7,136.8
1996,2,8,139.8
1996,2,9,129.1
1996,2,10,115.1
1996,2,11,114.0
1996,2,12,128.9
1996,2,13,156.0
1996,2,14,106.5
1996,2,15,154.3
1996,2,16,141.4
1996,2,17,130.8
1996,2,18,143.3
1996,2,19,139.8
1996,2,20,148.4
1996,2,21,133.5
1996,2,22,143.5
1996,2,23,109.8
1996,2,24,136.9
1996,2,25,129.6
1996,2,26,121.7
1996,2,27,123.9
1996,2,28,128.1
1996,2,29,147.5
1996,3,1,140.0
1996,3,2,136.5
1996,3,3,140.2
1996,3,4,130.1
1996,3,5,146.6
1996,3,6,136.5
1996,3,7,146.3
1996,3,8,121.0
1996,3,9,129.4
1996,3,10,156.3
1996,3,11,148.7
1996,3,12,157.8
1996,3,13,129.4
1996,3,14,149.0
1996,3,15,144.9
1996,3,16,118.5
1996,3,17,149.7
1996,3,18,137.2
1996,3,19,154.0
1996,3,20,120.5
1996,3,21,143.3
1996,3,22,138.4
1996,3,23,144.2
1996,3,24,169.6
1996,3,25,148.4
1996,3,26,171.2
1996,3,27,113.1
1996,3,28,117.5
1996,3,29,135.0
1996,3,30,120.2
1996,3,31,127.5
1996,4,1,152.6
1996,4,2,139.1
1996,4,3,138.8
1996,4,4,124.3
1996,4,5,131.5
1996,4,6,141.0
1996,4,7,158.0
1996,4,8,159.0
1996,4,9,145.6
1996,4,10,112.3
1996,4,11,127.2
1996,4,12,131.7
1996,4,13,132.9
1996,4,14,124.5
1996,4,15,152.7
1996,4,16,158.4
1996,4,17,122.9
1996,4,18,143.0
1996,4,19,155.3
1996,4,20,131.2
1996,4,21,120.0
1996,4,22,128.2
1996,4,23,144.7
1996,4,24,134.9
1996,4,25,146.8
1996,4,26,143.2
1996,4,27,137.6
1996,4,28,119.8
1996,4,29,103.6
1996,4,30,131.7
1996,5,1,147.4
1996,5,2,147.2
1996,5,3,138.8
1996,5,4,145.5
1996,5,5,149.9
1996,5,6,147.4
1996,5,7,132.2
1996,5,8,108.4
1996,5,9,125.9
1996,5,10,129.9
1996,5,11,154.1
1996,5,12,134.8
1996,5,13,138.3
1996,5,14,158.4
1996,5,15,148.9
