-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/1993 through 09/08/2026 in LST
Location: latitude  -67.6026   longitude 62.8734 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 253.13 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
WS10M_MAX     MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN     MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
-END HEADER-
YEAR,MO,DY,WS10M_MAX,WS10M_MIN
1993,9,13,18.55,4.62
1993,9,14,5.41,2.06
1993,9,15,11.51,5.65
1993,9,16,14.57,5.78
1993,9,17,14.93,7.0
1993,9,18,8.13,1.88
1993,9,19,6.77,0.53
1993,9,20,10.16,6.78
1993,9,21,10.23,2.71
1993,9,22,8.55,5.53
1993,9,23,8.78,4.27
1993,9,24,7.04,4.41
1993,9,25,9.15,5.03
1993,9,26,7.16,2.35
1993,9,27,9.89,3.66
1993,9,28,13.03,6.33
1993,9,29,15.7,13.5
1993,9,30,13.83,9.87
1993,10,1,12.56,4.45
1993,10,2,9.15,4.44
1993,10,3,10.08,3.7
1993,10,4,9.77,1.91
1993,10,5,8.98,4.26
1993,10,6,9.26,1.4
1993,10,7,10.86,0.6
1993,10,8,10.65,3.4
1993,10,9,11.5,3.35
1993,10,10,14.44,10.12
1993,10,11,10.24,2.63
1993,10,12,12.65,3.74
1993,10,13,13.18,4.61
1993,10,14,7.76,3.22
1993,10,15,8.56,3.8
1993,10,16,7.06,0.42
1993,10,17,15.03,1.09
1993,10,18,14.38,4.11
1993,10,19,9.04,1.45
1993,10,20,16.69,9.32
1993,10,21,12.86,6.1
1993,10,22,7.18,5.62
1993,10,23,10.71,3.88
1993,10,24,12.27,8.25
1993,10,25,11.78,7.99
1993,10,26,10.67,2.25
1993,10,27,10.98,3.83
1993,10,28,11.26,3.96
1993,10,29,9.81,5.12
1993,10,30,9.93,3.57
1993,10,31,9.12,3.04
1993,11,1,6.24,3.85
1993,11,2,6.64,3.17
1993,11,3,6.19,2.94
1993,11,4,7.7,3.63
1993,11,5,7.85,4.58
1993,11,6,8.6,3.12
1993,11,7,9.98,3.12
1993,11,8,10.17,4.46
1993,11,9,9.22,3.06
1993,11,10,7.98,3.73
1993,11,11,10.22,4.52
1993,11,12,10.13,4.59
1993,11,13,9.78,3.54
1993,11,14,9.38,2.84
1993,11,15,9.92,5.0
1993,11,16,12.02,3.28
1993,11,17,10.39,1.58
1993,11,18,10.0,2.39
1993,11,19,11.17,6.48
1993,11,20,14.9,8.22
1993,11,21,13.0,10.44
1993,11,22,11.93,2.26
1993,11,23,11.15,6.59
1993,11,24,15.98,11.92
1993,11,25,13.5,3.35
1993,11,26,9.72,2.04
1993,11,27,7.8,0.45
1993,11,28,15.4,8.1
1993,11,29,15.89,1.82
1993,11,30,7.21,3.32
1993,12,1,10.08,6.71
1993,12,2,10.68,5.31
1993,12,3,11.69,3.6
1993,12,4,7.05,0.74
1993,12,5,11.18,2.68
1993,12,6,10.64,5.49
1993,12,7,10.23,5.52
1993,12,8,16.27,11.23
1993,12,9,15.31,11.88
1993,12,10,13.63,6.55
1993,12,11,7.7,0.71
1993,12,12,9.59,2.74
1993,12,13,6.38,0.78
1993,12,14,11.75,4.01
1993,12,15,10.91,1.89
1993,12,16,13.31,10.23
1993,12,17,14.13,8.86
1993,12,18,10.51,6.13
1993,12,19,11.2,8.64
1993,12,20,11.34,2.22
1993,12,21,12.12,4.67
1993,12,22,15.53,12.75
1993,12,23,15.53,11.66
1993,12,24,12.06,2.31
1993,12,25,7.9,1.6
1993,12,26,8.48,6.13
1993,12,27,8.18,1.2
1993,12,28,5.9,1.12
1993,12,29,8.38,4.2
1993,12,30,8.61,2.88
1993,12,31,12.84,0.99
1994,1,1,22.72,13.39
1994,1,2,14.54,6.86
1994,1,3,22.62,8.98
1994,1,4,28.31,19.46
1994,1,5,18.87,14.86
1994,1,6,14.47,7.57
1994,1,7,14.02,9.99
1994,1,8,13.35,6.16
1994,1,9,8.14,6.97
1994,1,10,7.62,1.64
1994,1,11,6.2,3.18
1994,1,12,5.36,0.87
1994,1,13,6.25,0.41
1994,1,14,6.47,0.14
1994,1,15,11.78,7.82
1994,1,16,11.25,2.02
1994,1,17,8.89,1.52
1994,1,18,7.99,4.2
1994,1,19,12.86,6.05
1994,1,20,12.73,7.11
1994,1,21,10.04,0.29
1994,1,22,7.81,4.71
1994,1,23,10.2,5.46
1994,1,24,5.94,1.51
1994,1,25,8.42,5.65
1994,1,26,9.05,3.37
1994,1,27,9.02,2.14
1994,1,28,8.28,2.31
1994,1,29,8.55,0.94
1994,1,30,8.52,5.57
1994,1,31,8.64,1.42
1994,2,1,8.5,0.91
1994,2,2,9.17,2.82
1994,2,3,19.52,9.66
1994,2,4,19.32,0.37
1994,2,5,9.26,4.22
1994,2,6,10.29,6.22
1994,2,7,12.11,6.63
1994,2,8,17.65,12.91
1994,2,9,17.81,10.62
1994,2,10,11.61,6.77
1994,2,11,7.01,4.49
1994,2,12,12.42,6.24
1994,2,13,13.05,3.3
1994,2,14,9.58,2.82
1994,2,15,11.46,7.79
1994,2,16,7.39,0.73
1994,2,17,11.9,5.27
1994,2,18,11.88,1.53
1994,2,19,9.59,2.89
1994,2,20,9.16,2.76
1994,2,21,9.39,3.36
1994,2,22,11.01,5.29
1994,2,23,8.71,3.01
1994,2,24,7.85,2.81
1994,2,25,8.97,3.35
1994,2,26,8.96,2.61
1994,2,27,8.7,3.54
1994,2,28,8.5,2.04
1994,3,1,8.56,2.9
1994,3,2,16.24,4.43
1994,3,3,16.59,7.67
1994,3,4,8.42,2.53
1994,3,5,13.19,6.74
1994,3,6,14.54,11.44
1994,3,7,11.16,5.3
1994,3,8,8.92,4.0
1994,3,9,9.01,3.27
1994,3,10,11.97,6.44
1994,3,11,11.01,3.1
1994,3,12,11.34,4.02
1994,3,13,13.03,8.64
1994,3,14,13.37,3.92
1994,3,15,9.39,4.16
1994,3,16,11.52,6.21
1994,3,17,11.13,6.15
1994,3,18,9.14,5.46
1994,3,19,6.62,3.45
1994,3,20,9.75,6.53
1994,3,21,6.6,4.36
1994,3,22,10.71,6.74
1994,3,23,13.65,6.43
1994,3,24,7.26,3.16
1994,3,25,14.81,5.51
1994,3,26,14.22,8.57
1994,3,27,8.89,3.46
1994,3,28,9.69,4.41
1994,3,29,16.93,8.96
1994,3,30,15.74,6.84
1994,3,31,9.23,4.45
1994,4,1,11.05,5.77
1994,4,2,10.95,3.12
1994,4,3,9.57,3.1
1994,4,4,9.0,4.99
1994,4,5,9.64,5.74
1994,4,6,10.48,8.5
1994,4,7,12.83,7.09
1994,4,8,12.12,4.22
1994,4,9,9.24,1.82
1994,4,10,12.42,5.17
1994,4,11,25.57,6.51
1994,4,12,28.2,18.3
1994,4,13,17.65,9.59
1994,4,14,12.1,9.24
1994,4,15,11.65,7.49
1994,4,16,11.8,6.12
1994,4,17,9.76,5.32
1994,4,18,9.49,5.74
1994,4,19,8.25,3.99
1994,4,20,8.37,4.45
1994,4,21,8.89,3.53
1994,4,22,9.04,5.31
1994,4,23,9.63,4.52
1994,4,24,9.72,5.44
1994,4,25,9.66,7.5
1994,4,26,7.83,3.54
1994,4,27,8.21,5.11
1994,4,28,6.35,3.36
1994,4,29,9.26,4.54
1994,4,30,13.26,4.53
1994,5,1,13.62,0.66
1994,5,2,10.71,2.02
1994,5,3,9.07,2.9
1994,5,4,13.39,3.56
1994,5,5,10.76,0.82
1994,5,6,9.55,4.05
1994,5,7,10.93,1.88
1994,5,8,10.86,2.86
1994,5,9,15.98,6.36
1994,5,10,14.36,2.75
1994,5,11,15.15,6.18
1994,5,12,14.82,2.43
1994,5,13,11.08,4.0
1994,5,14,8.66,2.37
1994,5,15,12.47,1.71
1994,5,16,15.3,12.68
1994,5,17,15.32,6.14
1994,5,18,7.15,4.62
1994,5,19,9.4,0.22
1994,5,20,7.18,3.9
1994,5,21,15.89,7.61
1994,5,22,11.62,5.07
1994,5,23,10.26,5.2
1994,5,24,7.18,1.66
1994,5,25,8.41,1.98
1994,5,26,9.56,4.61
1994,5,27,9.53,4.29
1994,5,28,11.15,8.11
1994,5,29,12.4,3.6
1994,5,30,12.83,3.58
1994,5,31,16.15,12.53
1994,6,1,13.69,4.76
1994,6,2,6.89,2.83
1994,6,3,6.15,2.3
1994,6,4,5.27,0.34
1994,6,5,9.36,0.29
1994,6,6,9.29,3.94
1994,6,7,9.85,3.07
1994,6,8,7.92,3.41
1994,6,9,14.25,3.09
1994,6,10,17.73,8.94
1994,6,11,11.14,4.57
1994,6,12,27.61,8.82
1994,6,13,30.7,24.61
1994,6,14,23.87,12.93
1994,6,15,14.46,9.94
1994,6,16,22.8,10.49
1994,6,17,23.75,18.59
1994,6,18,21.49,13.71
1994,6,19,17.57,12.74
1994,6,20,18.37,10.74
1994,6,21,18.48,12.48
1994,6,22,12.55,7.33
1994,6,23,9.35,5.0
1994,6,24,6.88,3.14
1994,6,25,12.29,5.49
1994,6,26,14.94,10.71
1994,6,27,13.74,4.48
1994,6,28,9.52,3.15
1994,6,29,16.84,9.66
1994,6,30,18.45,13.74
1994,7,1,13.63,3.28
1994,7,2,6.48,0.15
1994,7,3,7.59,4.65
1994,7,4,7.48,0.94
1994,7,5,9.3,0.88
1994,7,6,12.45,5.2
1994,7,7,12.86,5.74
1994,7,8,12.56,4.76
1994,7,9,10.83,3.52
1994,7,10,10.88,4.76
1994,7,11,10.35,4.09
1994,7,12,9.45,6.46
1994,7,13,10.93,8.69
1994,7,14,11.44,6.19
1994,7,15,16.07,10.8
1994,7,16,17.63,13.39
1994,7,17,17.96,11.83
1994,7,18,12.28,8.41
1994,7,19,10.44,6.41
1994,7,20,10.77,4.28
1994,7,21,15.49,8.68
1994,7,22,15.81,12.97
1994,7,23,13.18,5.16
1994,7,24,6.7,3.91
1994,7,25,7.32,4.4
1994,7,26,8.61,5.81
1994,7,27,9.64,5.72
1994,7,28,10.95,4.94
1994,7,29,9.56,2.93
1994,7,30,10.44,6.45
1994,7,31,9.68,5.76
1994,8,1,10.26,5.92
1994,8,2,16.5,8.98
1994,8,3,13.11,1.62
1994,8,4,12.26,5.49
1994,8,5,11.84,4.46
1994,8,6,8.7,1.42
1994,8,7,7.0,1.99
1994,8,8,8.22,2.43
1994,8,9,10.04,6.22
1994,8,10,13.55,1.3
1994,8,11,17.8,6.62
1994,8,12,11.59,2.62
1994,8,13,14.04,10.01
1994,8,14,13.79,5.5
1994,8,15,7.61,1.09
1994,8,16,7.74,2.88
1994,8,17,7.68,4.28
1994,8,18,11.18,3.59
1994,8,19,11.31,1.34
1994,8,20,5.79,0.4
1994,8,21,8.02,5.05
1994,8,22,7.72,4.69
1994,8,23,7.68,3.59
1994,8,24,8.54,4.09
1994,8,25,9.2,3.0
1994,8,26,9.08,4.75
1994,8,27,8.89,6.1
1994,8,28,12.14,5.31
1994,8,29,15.17,12.36
1994,8,30,25.49,15.97
1994,8,31,28.65,24.96
1994,9,1,24.95,9.94
1994,9,2,9.82,4.59
1994,9,3,9.67,5.54
1994,9,4,12.19,6.53
1994,9,5,11.53,5.35
1994,9,6,7.43,2.33
1994,9,7,9.01,3.91
1994,9,8,11.72,5.88
1994,9,9,12.7,8.71
1994,9,10,11.17,3.59
1994,9,11,9.11,0.37
1994,9,12,6.87,0.37
1994,9,13,4.21,0.47
1994,9,14,9.18,3.32
1994,9,15,11.7,7.0
1994,9,16,17.24,12.45
1994,9,17,17.91,11.24
1994,9,18,11.78,3.89
1994,9,19,9.78,6.91
1994,9,20,10.39,4.8
1994,9,21,7.77,4.35
1994,9,22,10.59,5.11
1994,9,23,9.91,3.34
1994,9,24,8.25,4.45
1994,9,25,8.06,3.01
1994,9,26,11.65,4.53
1994,9,27,12.3,7.02
1994,9,28,12.04,6.98
1994,9,29,14.67,10.36
1994,9,30,20.25,14.11
1994,10,1,20.55,15.48
1994,10,2,15.44,7.87
1994,10,3,9.95,3.13
1994,10,4,12.59,6.13
1994,10,5,12.77,5.62
1994,10,6,5.72,0.52
1994,10,7,8.64,1.46
1994,10,8,9.43,5.25
1994,10,9,10.14,3.26
1994,10,10,13.59,5.01
1994,10,11,14.38,0.87
1994,10,12,8.83,2.93
1994,10,13,9.9,5.47
1994,10,14,9.35,3.04
1994,10,15,10.54,6.13
1994,10,16,13.13,9.69
1994,10,17,13.38,7.46
1994,10,18,7.65,3.69
1994,10,19,5.14,1.96
1994,10,20,13.13,2.64
1994,10,21,16.68,9.41
1994,10,22,9.86,0.26
1994,10,23,6.84,0.69
1994,10,24,9.18,6.49
1994,10,25,9.48,3.83
1994,10,26,6.06,0.53
1994,10,27,7.64,1.96
1994,10,28,8.61,5.33
1994,10,29,10.03,5.26
1994,10,30,8.42,3.93
1994,10,31,9.32,5.0
1994,11,1,10.38,5.27
1994,11,2,8.98,4.4
1994,11,3,9.37,2.21
1994,11,4,15.09,5.52
1994,11,5,19.68,14.4
1994,11,6,15.28,6.19
1994,11,7,8.36,3.13
1994,11,8,7.92,5.5
1994,11,9,9.59,3.87
1994,11,10,10.4,6.23
1994,11,11,16.59,9.53
1994,11,12,11.78,4.8
1994,11,13,8.9,4.43
1994,11,14,10.72,4.33
1994,11,15,10.28,3.92
1994,11,16,12.31,4.93
1994,11,17,14.87,11.97
1994,11,18,15.21,6.49
1994,11,19,7.36,1.53
1994,11,20,6.88,1.61
1994,11,21,10.42,6.25
1994,11,22,17.66,10.4
1994,11,23,18.52,13.84
1994,11,24,14.99,12.5
1994,11,25,12.42,7.71
1994,11,26,8.24,1.81
1994,11,27,7.78,3.46
1994,11,28,9.71,3.62
1994,11,29,10.49,7.46
1994,11,30,13.69,10.37
1994,12,1,16.94,11.34
1994,12,2,17.72,1.75
1994,12,3,10.09,4.18
1994,12,4,21.62,11.47
1994,12,5,19.4,7.0
1994,12,6,9.7,5.14
1994,12,7,22.54,9.49
1994,12,8,23.95,15.06
1994,12,9,15.58,3.42
1994,12,10,7.46,1.08
1994,12,11,10.22,5.72
1994,12,12,12.46,7.09
1994,12,13,7.92,5.28
1994,12,14,8.55,0.41
1994,12,15,2.27,0.05
1994,12,16,5.29,1.2
1994,12,17,5.8,0.25
1994,12,18,6.2,3.08
1994,12,19,7.7,2.67
1994,12,20,8.79,4.07
1994,12,21,8.41,5.1
1994,12,22,7.28,1.06
1994,12,23,7.36,0.54
1994,12,24,5.03,0.63
1994,12,25,7.91,1.15
1994,12,26,5.79,1.32
1994,12,27,6.68,3.11
1994,12,28,8.93,3.07
1994,12,29,7.8,0.55
1994,12,30,7.17,1.09
1994,12,31,6.76,1.52
1995,1,1,8.32,1.69
1995,1,2,10.28,3.09
1995,1,3,8.09,0.83
1995,1,4,9.66,0.84
1995,1,5,16.92,10.67
1995,1,6,18.07,14.06
1995,1,7,17.42,14.35
1995,1,8,15.52,7.04
1995,1,9,6.48,0.57
1995,1,10,5.24,0.57
1995,1,11,5.32,0.56
1995,1,12,6.01,2.22
1995,1,13,11.59,6.01
1995,1,14,12.07,0.71
1995,1,15,4.0,1.23
1995,1,16,6.29,0.56
1995,1,17,2.65,0.61
1995,1,18,7.35,0.39
1995,1,19,9.24,3.05
1995,1,20,10.19,4.86
1995,1,21,13.84,9.43
1995,1,22,14.15,2.28
1995,1,23,8.6,2.42
1995,1,24,8.27,2.15
1995,1,25,5.29,0.72
1995,1,26,7.77,1.95
1995,1,27,6.56,0.69
1995,1,28,9.63,2.73
1995,1,29,10.16,4.29
1995,1,30,11.52,5.27
1995,1,31,12.12,3.66
1995,2,1,10.49,0.91
1995,2,2,18.1,9.08
1995,2,3,15.86,14.71
1995,2,4,15.0,8.56
1995,2,5,12.3,7.31
1995,2,6,16.45,12.74
1995,2,7,14.15,1.14
1995,2,8,8.16,2.75
1995,2,9,8.82,2.92
1995,2,10,8.78,2.25
1995,2,11,8.91,1.38
1995,2,12,9.34,2.12
1995,2,13,16.16,10.48
1995,2,14,10.72,4.47
1995,2,15,9.9,0.9
1995,2,16,16.93,10.63
1995,2,17,15.53,6.67
1995,2,18,11.96,1.82
1995,2,19,8.19,0.83
1995,2,20,11.2,2.31
1995,2,21,12.94,3.07
1995,2,22,19.64,5.44
1995,2,23,19.6,8.75
1995,2,24,9.48,7.35
1995,2,25,9.03,5.03
1995,2,26,10.74,4.1
1995,2,27,10.72,0.8
1995,2,28,8.08,1.67
1995,3,1,12.58,4.08
1995,3,2,13.7,8.81
1995,3,3,11.87,4.65
1995,3,4,9.1,5.32
1995,3,5,9.44,4.4
1995,3,6,9.37,1.23
1995,3,7,12.61,5.08
1995,3,8,9.87,2.82
1995,3,9,14.88,3.3
1995,3,10,22.01,5.46
1995,3,11,7.99,2.47
1995,3,12,6.27,0.38
1995,3,13,10.33,5.02
1995,3,14,10.47,4.17
1995,3,15,7.6,2.02
1995,3,16,11.02,8.76
1995,3,17,10.01,4.49
1995,3,18,8.35,5.04
1995,3,19,12.86,6.63
1995,3,20,19.92,13.24
1995,3,21,18.66,12.29
1995,3,22,12.55,3.06
1995,3,23,6.4,1.12
1995,3,24,10.93,3.16
1995,3,25,17.84,11.98
1995,3,26,19.16,11.75
1995,3,27,11.62,4.21
1995,3,28,7.59,0.04
1995,3,29,10.13,7.16
1995,3,30,11.5,2.91
1995,3,31,16.14,3.56
1995,4,1,19.1,15.89
1995,4,2,24.22,19.25
1995,4,3,20.01,8.58
1995,4,4,11.51,8.2
1995,4,5,10.96,7.37
1995,4,6,14.57,8.1
1995,4,7,16.49,12.89
1995,4,8,18.42,13.64
1995,4,9,15.32,9.28
1995,4,10,16.99,9.64
1995,4,11,10.2,0.13
1995,4,12,11.31,7.03
1995,4,13,15.06,10.4
1995,4,14,13.44,2.81
1995,4,15,8.99,2.17
1995,4,16,10.05,2.78
1995,4,17,9.95,4.8
1995,4,18,10.64,8.82
1995,4,19,9.4,3.22
1995,4,20,7.86,6.09
1995,4,21,5.96,0.92
1995,4,22,6.26,2.18
1995,4,23,9.31,0.55
1995,4,24,20.4,5.31
1995,4,25,9.82,3.88
1995,4,26,10.74,5.3
1995,4,27,10.75,1.75
1995,4,28,17.46,7.29
1995,4,29,17.38,1.41
1995,4,30,15.11,2.08
1995,5,1,20.95,8.82
1995,5,2,10.35,5.13
1995,5,3,10.87,6.32
1995,5,4,7.03,2.51
1995,5,5,10.1,4.0
1995,5,6,10.75,6.75
1995,5,7,8.02,1.05
1995,5,8,10.93,2.22
1995,5,9,13.42,11.16
1995,5,10,11.79,4.24
1995,5,11,7.66,4.9
1995,5,12,9.85,5.11
1995,5,13,6.85,3.04
1995,5,14,13.34,6.43
1995,5,15,13.01,8.23
1995,5,16,9.86,5.78
1995,5,17,9.43,4.55
1995,5,18,12.74,5.16
1995,5,19,11.35,5.6
1995,5,20,17.39,7.78
1995,5,21,28.9,17.88
1995,5,22,24.05,3.87
1995,5,23,7.64,2.89
1995,5,24,11.44,1.73
1995,5,25,14.29,4.92
1995,5,26,16.25,6.15
1995,5,27,16.19,4.05
1995,5,28,7.47,1.75
1995,5,29,6.57,4.47
1995,5,30,9.33,3.37
1995,5,31,5.89,2.36
1995,6,1,6.44,2.58
1995,6,2,4.78,3.17
1995,6,3,20.96,0.28
1995,6,4,24.2,3.95
1995,6,5,8.96,6.22
1995,6,6,24.44,6.83
1995,6,7,25.35,20.36
1995,6,8,19.17,13.7
1995,6,9,14.98,4.59
1995,6,10,8.51,3.79
1995,6,11,23.33,9.43
1995,6,12,23.94,18.69
1995,6,13,18.78,8.7
1995,6,14,9.37,4.37
